anio,semestre,tasa_homicidio_semestral,tasa_homicidio_semestre_anterior,objetivo_kpi1
2016,1,2.0829247596304827,,
2016,2,2.5956447004626018,2.0829247596304827,1.8746322836674345
2017,1,2.2111047448385124,2.5956447004626018,2.3360802304163415
2017,2,2.2751947374425274,2.2111047448385124,1.9899942703546611
2018,1,2.24314974114052,2.2751947374425274,2.0476752636982747
2018,2,2.5315547078585867,2.24314974114052,2.018834767026468
2019,1,1.8265647892144234,2.5315547078585867,2.278399237072728
2019,2,1.506114826194349,1.8265647892144234,1.6439083102929812
2020,1,0.9933948853622302,1.506114826194349,1.3555033435749142
2020,2,1.6022498151003715,0.9933948853622302,0.8940553968260072
2021,1,1.7624747966104084,1.6022498151003715,1.4420248335903343
2021,2,1.345889844684312,1.7624747966104084,1.5862273169493677
