anio,mes,tipo_licencia,sexo,cantidad
2008,Julio,nuevas,FEMENINO,1700
2008,Julio,renovadas,MASCULINO,16251
2008,Julio,renovadas,FEMENINO,5498
2008,Agosto,nuevas,MASCULINO,3550
2008,Agosto,nuevas,FEMENINO,1761
2008,Agosto,renovadas,MASCULINO,14956
2008,Agosto,renovadas,FEMENINO,5376
2008,Septiembre,nuevas,MASCULINO,3662
2008,Septiembre,nuevas,FEMENINO,1665
2008,Septiembre,renovadas,MASCULINO,16252
2008,Septiembre,renovadas,FEMENINO,5556
2008,Octubre,nuevas,MASCULINO,3791
2008,Octubre,nuevas,FEMENINO,1680
2008,Octubre,renovadas,MASCULINO,17220
2008,Octubre,renovadas,FEMENINO,5813
2008,Noviembre,nuevas,MASCULINO,3359
2008,Noviembre,nuevas,FEMENINO,1571
2008,Noviembre,renovadas,MASCULINO,15492
2008,Noviembre,renovadas,FEMENINO,5519
2008,Diciembre,nuevas,MASCULINO,3741
2008,Diciembre,nuevas,FEMENINO,1844
2008,Diciembre,renovadas,MASCULINO,17103
2008,Diciembre,renovadas,FEMENINO,6044
2009,Enero,nuevas,MASCULINO,4233
2009,Enero,nuevas,FEMENINO,1784
2009,Enero,renovadas,MASCULINO,17111
2009,Enero,renovadas,FEMENINO,6269
2009,Febrero,nuevas,MASCULINO,3794
2009,Febrero,nuevas,FEMENINO,1762
2009,Febrero,renovadas,MASCULINO,13536
2009,Febrero,renovadas,FEMENINO,5055
2009,Marzo,nuevas,MASCULINO,4267
2009,Marzo,nuevas,FEMENINO,2077
2009,Marzo,renovadas,MASCULINO,16090
2009,Marzo,renovadas,FEMENINO,5644
2009,Abril,nuevas,MASCULINO,3613
2009,Abril,nuevas,FEMENINO,1788
2009,Abril,renovadas,MASCULINO,15026
2009,Abril,renovadas,FEMENINO,5231
2009,Mayo,nuevas,MASCULINO,3430
2009,Mayo,nuevas,FEMENINO,1614
2009,Mayo,renovadas,MASCULINO,14081
2009,Mayo,renovadas,FEMENINO,4921
2009,Junio,nuevas,MASCULINO,3296
2009,Junio,nuevas,FEMENINO,1678
2009,Junio,renovadas,MASCULINO,14617
2009,Junio,renovadas,FEMENINO,5368
2009,Julio,nuevas,MASCULINO,3064
2009,Julio,nuevas,FEMENINO,1548
2009,Julio,renovadas,MASCULINO,12957
2009,Julio,renovadas,FEMENINO,4782
2009,Agosto,nuevas,MASCULINO,3049
2009,Agosto,nuevas,FEMENINO,1432
2009,Agosto,renovadas,MASCULINO,15677
2009,Agosto,renovadas,FEMENINO,5422
2009,Septiembre,nuevas,MASCULINO,4256
2009,Septiembre,nuevas,FEMENINO,2202
2009,Septiembre,renovadas,MASCULINO,18174
2009,Septiembre,renovadas,FEMENINO,6866
2009,Octubre,nuevas,MASCULINO,4149
2009,Octubre,nuevas,FEMENINO,1951
2009,Octubre,renovadas,MASCULINO,17134
2009,Octubre,renovadas,FEMENINO,6393
2009,Noviembre,nuevas,MASCULINO,4067
2009,Noviembre,nuevas,FEMENINO,1868
2009,Noviembre,renovadas,MASCULINO,17211
2009,Noviembre,renovadas,FEMENINO,6464
2009,Diciembre,nuevas,MASCULINO,4068
2009,Diciembre,nuevas,FEMENINO,1973
2009,Diciembre,renovadas,MASCULINO,17045
2009,Diciembre,renovadas,FEMENINO,6367
2010,Enero,nuevas,MASCULINO,4140
2010,Enero,nuevas,FEMENINO,1690
2010,Enero,renovadas,MASCULINO,17638
2010,Enero,renovadas,FEMENINO,6387
2010,Febrero,nuevas,MASCULINO,3628
2010,Febrero,nuevas,FEMENINO,1754
2010,Febrero,renovadas,MASCULINO,13725
2010,Febrero,renovadas,FEMENINO,5067
2010,Marzo,nuevas,MASCULINO,4210
2010,Marzo,nuevas,FEMENINO,2120
2010,Marzo,renovadas,MASCULINO,17055
2010,Marzo,renovadas,FEMENINO,6133
2010,Abril,nuevas,MASCULINO,3785
2010,Abril,nuevas,FEMENINO,1840
2010,Abril,renovadas,MASCULINO,15184
2010,Abril,renovadas,FEMENINO,5458
2010,Mayo,nuevas,MASCULINO,3631
2010,Mayo,nuevas,FEMENINO,1780
2010,Mayo,renovadas,MASCULINO,14066
2010,Mayo,renovadas,FEMENINO,5001
2010,Junio,nuevas,MASCULINO,3717
2010,Junio,nuevas,FEMENINO,1798
2010,Junio,renovadas,MASCULINO,14748
2010,Junio,renovadas,FEMENINO,5541
2010,Julio,nuevas,MASCULINO,3760
2010,Julio,nuevas,FEMENINO,1728
2010,Julio,renovadas,MASCULINO,15029
2010,Julio,renovadas,FEMENINO,5513
2010,Agosto,nuevas,MASCULINO,3986
2010,Agosto,nuevas,FEMENINO,1794
2010,Agosto,renovadas,MASCULINO,13908
2010,Agosto,renovadas,FEMENINO,5265
2010,Septiembre,nuevas,MASCULINO,4495
2010,Septiembre,nuevas,FEMENINO,2015
2010,Septiembre,renovadas,MASCULINO,15344
2010,Septiembre,renovadas,FEMENINO,5829
2010,Octubre,nuevas,MASCULINO,3937
2010,Octubre,nuevas,FEMENINO,1627
2010,Octubre,renovadas,MASCULINO,13988
2010,Octubre,renovadas,FEMENINO,5306
2010,Noviembre,nuevas,MASCULINO,4736
2010,Noviembre,nuevas,FEMENINO,1865
2010,Noviembre,renovadas,MASCULINO,15225
2010,Noviembre,renovadas,FEMENINO,5940
2010,Diciembre,nuevas,MASCULINO,4466
2010,Diciembre,nuevas,FEMENINO,1978
2010,Diciembre,renovadas,MASCULINO,16745
2010,Diciembre,renovadas,FEMENINO,6614
2011,Enero,nuevas,MASCULINO,4526
2011,Enero,nuevas,FEMENINO,1721
2011,Enero,renovadas,MASCULINO,16455
2011,Enero,renovadas,FEMENINO,6527
2011,Febrero,nuevas,MASCULINO,3527
2011,Febrero,nuevas,FEMENINO,1484
2011,Febrero,renovadas,MASCULINO,14424
2011,Febrero,renovadas,FEMENINO,5657
2011,Marzo,nuevas,MASCULINO,3583
2011,Marzo,nuevas,FEMENINO,1579
2011,Marzo,renovadas,MASCULINO,14874
2011,Marzo,renovadas,FEMENINO,5874
2011,Abril,nuevas,MASCULINO,3621
2011,Abril,nuevas,FEMENINO,1739
2011,Abril,renovadas,MASCULINO,14651
2011,Abril,renovadas,FEMENINO,5896
2011,Mayo,nuevas,MASCULINO,4324
2011,Mayo,nuevas,FEMENINO,1797
2011,Mayo,renovadas,MASCULINO,15004
2011,Mayo,renovadas,FEMENINO,5926
2011,Junio,nuevas,MASCULINO,3948
2011,Junio,nuevas,FEMENINO,1809
2011,Junio,renovadas,MASCULINO,14667
2011,Junio,renovadas,FEMENINO,5723
